epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.911,1.39505,1.89473,1.11472,0.44179,0.40168,0.38626,0.23009,1.26461,1.22127,1.05237,0.000332442,0.000332442,0.000332442
2,208.012,1.27816,1.19707,1.06204,0.55155,0.36433,0.41346,0.24562,1.26411,1.15859,1.07104,0.000643805,0.000643805,0.000643805
3,289.501,1.24568,1.05553,1.04834,0.59028,0.47222,0.51809,0.32123,1.17629,0.95536,1.03017,0.000933168,0.000933168,0.000933168
4,369.804,1.20904,0.961,1.03709,0.72245,0.48988,0.58601,0.36944,1.14672,0.86902,1.0209,0.000901,0.000901,0.000901
5,449.988,1.17502,0.90195,1.02324,0.66663,0.55877,0.61278,0.38837,1.10311,0.81558,0.99954,0.000868,0.000868,0.000868
6,530.263,1.14949,0.86017,1.01463,0.70863,0.53563,0.61515,0.39029,1.09347,0.81409,1.00222,0.000835,0.000835,0.000835
7,610.563,1.12927,0.82406,1.00505,0.69704,0.55286,0.62842,0.40322,1.08723,0.77679,0.99773,0.000802,0.000802,0.000802
8,690.262,1.10681,0.79738,0.99851,0.71445,0.60545,0.67616,0.43757,1.05507,0.73985,0.98483,0.000769,0.000769,0.000769
9,770.502,1.07967,0.77007,0.99103,0.77053,0.60557,0.69637,0.45521,1.0323,0.71773,0.97818,0.000736,0.000736,0.000736
10,850.341,1.0717,0.75153,0.98491,0.77458,0.62591,0.71199,0.45936,1.04359,0.71932,0.98283,0.000703,0.000703,0.000703
11,930.33,1.0539,0.73163,0.97764,0.77638,0.6661,0.73538,0.48361,1.01884,0.68369,0.97189,0.00067,0.00067,0.00067
12,1010.4,1.04149,0.72148,0.97575,0.81233,0.64634,0.74374,0.48987,1.0013,0.67482,0.96342,0.000637,0.000637,0.000637
13,1090.36,1.02919,0.70542,0.9714,0.80902,0.67762,0.76742,0.50786,0.98398,0.64736,0.95987,0.000604,0.000604,0.000604
14,1172.79,1.01077,0.68566,0.96429,0.83007,0.71223,0.78602,0.5293,0.97927,0.63317,0.95452,0.000571,0.000571,0.000571
15,1253.26,1.007,0.68218,0.96312,0.83028,0.72025,0.79162,0.53333,0.95879,0.61929,0.94705,0.000538,0.000538,0.000538
16,1333.57,0.99332,0.66869,0.95387,0.82653,0.71478,0.7931,0.53843,0.94775,0.61646,0.94979,0.000505,0.000505,0.000505
17,1413.79,0.98138,0.65621,0.95487,0.8416,0.71813,0.80898,0.54295,0.93836,0.60334,0.94328,0.000472,0.000472,0.000472
18,1493.46,0.97146,0.64852,0.95053,0.85331,0.72615,0.81532,0.55487,0.9235,0.59049,0.93967,0.000439,0.000439,0.000439
19,1573.41,0.95791,0.63175,0.94474,0.8503,0.72057,0.81715,0.55409,0.91996,0.5917,0.94175,0.000406,0.000406,0.000406
20,1653.5,0.94763,0.62296,0.9421,0.86742,0.74014,0.82771,0.56705,0.90659,0.57896,0.93672,0.000373,0.000373,0.000373
21,1765.15,0.92884,0.5982,0.93634,0.8674,0.72568,0.82161,0.55919,0.91345,0.57785,0.93896,0.00034,0.00034,0.00034
22,1842.18,0.91098,0.57765,0.92812,0.87995,0.73463,0.8328,0.57054,0.91027,0.5756,0.93388,0.000307,0.000307,0.000307
23,1919.48,0.89553,0.56766,0.92608,0.85654,0.73364,0.8367,0.56743,0.91907,0.57231,0.93368,0.000274,0.000274,0.000274
24,1996.68,0.8828,0.55691,0.92084,0.86814,0.75667,0.85155,0.58665,0.89544,0.55122,0.92994,0.000241,0.000241,0.000241
25,2074.15,0.86879,0.54658,0.91797,0.86619,0.76473,0.85507,0.59557,0.87461,0.54938,0.92244,0.000208,0.000208,0.000208
26,2151.4,0.8529,0.53708,0.9095,0.89115,0.76034,0.85683,0.59742,0.87386,0.54195,0.92368,0.000175,0.000175,0.000175
27,2228.55,0.8444,0.52968,0.90809,0.88668,0.77537,0.86275,0.60214,0.86969,0.53699,0.91897,0.000142,0.000142,0.000142
28,2305.32,0.83102,0.52098,0.90401,0.89292,0.77627,0.86626,0.61143,0.85197,0.52686,0.9133,0.000109,0.000109,0.000109
29,2382.59,0.82141,0.51522,0.90053,0.90771,0.76763,0.86894,0.61576,0.84115,0.51906,0.91055,7.6e-05,7.6e-05,7.6e-05
30,2459.47,0.80407,0.50448,0.89516,0.89593,0.7802,0.87232,0.61946,0.83833,0.51657,0.9096,4.3e-05,4.3e-05,4.3e-05
